MES_REFERENCIA,SUBMERCADO,PLD_FINAL_MEDIO,MES
201304,NORDESTE,321.34,2013-04-01
201304,NORTE,320.09,2013-04-01
201304,SUDESTE,320.09,2013-04-01
201304,SUL,320.09,2013-04-01
201305,NORDESTE,406.33,2013-05-01
201305,NORTE,406.24,2013-05-01
201305,SUDESTE,406.24,2013-05-01
201305,SUL,406.24,2013-05-01
201306,NORDESTE,317.27,2013-06-01
201306,NORTE,317.0,2013-06-01
201306,SUDESTE,316.95,2013-06-01
201306,SUL,313.43,2013-06-01
201307,NORDESTE,182.05,2013-07-01
201307,NORTE,181.79,2013-07-01
201307,SUDESTE,181.73,2013-07-01
201307,SUL,163.03,2013-07-01
201308,NORDESTE,189.38,2013-08-01
201308,NORTE,188.07,2013-08-01
201308,SUDESTE,188.07,2013-08-01
201308,SUL,170.25,2013-08-01
